RegionID,RegionName,StateName,SizeRank,2012,2013,2014,2015,2016,2017
10920,Columbus,Ohio,15,1166700,1264400,1416700,1525200,1608000,1749600
24115,Cleveland,Ohio,43,0,0,0,294300,486200,625500
4099,Cincinnati,Ohio,53,0,0,0,0,0,1436800
34303,Toledo,Ohio,65,466700,550500,675400,771600,808800,861900
30141,Akron,Ohio,123,0,0,0,136400,577700,692400
51260,Canton,Ohio,200,0,0,0,0,0,719600
11786,Hamilton,Ohio,230,0,1230200,1445200,1492200,1719900,1762600
34103,Springfield,Ohio,459,789700,783900,899200,874600,1005400,1072500
53812,Parma,Ohio,489,925100,969900,998200,1071500,1153100,1243300
28060,Youngstown,Ohio,628,0,0,0,164200,261300,308200
14584,Westerville,Ohio,635,2481300,2522500,2654500,2626400,2845000,3144600
32572,Lorain,Ohio,637,0,0,0,0,0,455400
25784,Massillon,Ohio,646,0,411400,1270200,1314900,1376500,1425700
53253,Medina,Ohio,655,1619500,2070100,2083100,2257200,2239700,2294000
17974,Elyria,Ohio,664,61200,775300,915400,966900,986200,1037400
35641,Grove City,Ohio,693,1479900,1679900,1632300,1735200,1825200,2036500
25495,Lancaster,Ohio,703,861000,1274100,1343400,1415800,1552400,1568000
14541,West Chester,Ohio,704,2099200,2201100,2324000,2411000,2543200,2642900
39996,Newark,Ohio,754,0,0,0,0,0,1047200
5710,Loveland,Ohio,760,0,0,0,0,0,1630000
5411,Kettering,Ohio,766,0,0,0,0,1391000,1524200
38520,Findlay,Ohio,808,0,0,0,0,685200,1711400
29898,Delaware,Ohio,840,0,0,0,0,0,2019900
4426,Dublin,Ohio,851,0,0,0,0,0,2323100
11022,Cuyahoga Falls,Ohio,890,1147800,1293300,1258000,1236900,1338600,1446900
21995,Lakewood,Ohio,982,0,0,728300,1459400,1631200,1791500
24117,Cleveland Heights,Ohio,1002,0,0,0,232400,1001700,1103900
10315,Beavercreek,Ohio,1005,1801000,1842300,1853200,1982500,2036200,2147700
45221,Fairfield,Ohio,1025,0,883600,1509200,1425100,1658600,1696900
24624,Euclid,Ohio,1036,0,39900,539400,500900,598800,700300
5398,Kent,Ohio,1046,1319600,1358700,1477400,1647400,1635000,1732300
21386,Wooster,Ohio,1051,1404000,1467700,1503700,1506000,1661200,1641600
50327,Brunswick,Ohio,1053,1293000,1793000,1933400,1876100,1858200,2103500
56162,Painesville,Ohio,1121,0,0,0,0,745900,1421500
38999,Hilliard,Ohio,1135,0,0,0,1487000,2797800,2915100
23789,Bowling Green,Ohio,1156,585800,1664700,1758700,1774400,1780600,1932600
5586,Lebanon,Ohio,1166,0,0,0,0,1964900,2370600
39769,Miamisburg,Ohio,1182,1369700,1356700,1419100,1455600,1583400,1656000
19911,Perrysburg,Ohio,1197,2071900,2182700,2161300,2255600,2407100,2385400
40554,Reynoldsburg,Ohio,1212,0,0,0,702300,1790800,1931900
18647,Huber Heights,Ohio,1218,0,876400,996800,1073700,1183100,1272400
3731,Boardman,Ohio,1259,0,0,0,537600,1061300,1072100
43969,Athens,Ohio,1265,0,0,882000,1866600,1781200,2062600
14192,Troy,Ohio,1279,1560900,1609900,1641200,1610100,1643100,1718500
42802,Pickerington,Ohio,1294,1510200,2065800,2292400,2283300,2466800,2685000
7279,Stow,Ohio,1296,0,0,1001500,1704300,1820100,1921800
7540,Upper Arlington,Ohio,1303,3329800,3469300,3486600,3843600,3968900,4276500
42925,Powell,Ohio,1306,3466800,3524700,3916500,3936300,3969800,4087100
39635,Marion,Ohio,1358,0,0,0,0,0,753300
43098,Sylvania,Ohio,1373,1817900,1896800,1950300,1980200,2095800,2291600
18226,Gahanna,Ohio,1389,1817400,2067000,2325800,2171700,2364500,2444200
13034,North Ridgeville,Ohio,1393,1645100,1732500,1753900,1796800,1910000,2074100
46803,North Olmsted,Ohio,1424,1286000,1409900,1483300,1527500,1580500,1736300
34613,Wadsworth,Ohio,1476,1396900,1716800,1738100,1888500,1925200,1905200
40070,North Royalton,Ohio,1477,0,0,0,0,0,1320000
16104,Tiffin,Ohio,1605,0,0,0,885700,1073600,1168900
54377,Shaker Heights,Ohio,1640,0,0,545400,2159900,2166400,2159800
33291,Oxford,Ohio,1688,0,0,893300,1918500,1990700,2107900
43407,Maumee,Ohio,1736,1694700,1797100,1866200,1866100,1887700,2064600
10249,Barberton,Ohio,1742,0,0,0,0,0,405900
11698,Green,Ohio,1759,760800,1737200,1889600,1990500,1930100,2047900
53547,New Philadelphia,Ohio,1767,0,0,0,1007100,1346200,1346500
42786,Riverside,Ohio,1913,392500,745100,862500,782800,948900,955700
13896,Solon,Ohio,1938,3023900,2691800,3215900,3184300,2919200,3179600
7510,Twinsburg,Ohio,1960,0,0,0,0,1311400,2325600
10776,Chagrin Falls,Ohio,1963,2738600,3159800,3306600,3263600,3225600,3448500
19190,Maple Heights,Ohio,1975,0,0,0,102800,451100,527900
7954,Willoughby,Ohio,1986,0,0,0,0,1499700,1660300
10694,Canfield,Ohio,1988,0,0,0,0,568700,2092800
