RegionID,RegionName,StateName,SizeRank,2012,2013,2014,2015,2016,2017
10920,Columbus,Ohio,15,1166700,1264400,1416700,1525200,1608000,1749600
24115,Cleveland,Ohio,43,0,0,0,294300,486200,625500
4099,Cincinnati,Ohio,53,0,0,0,0,0,1436800
34303,Toledo,Ohio,65,466700,550500,675400,771600,808800,861900
30141,Akron,Ohio,123,0,0,0,136400,577700,692400
51260,Canton,Ohio,200,0,0,0,0,0,719600
53812,Parma,Ohio,489,925100,969900,998200,1071500,1153100,1243300
28060,Youngstown,Ohio,628,0,0,0,164200,261300,308200
32572,Lorain,Ohio,637,0,0,0,0,0,455400
45221,Fairfield,Ohio,1025,0,883600,1509200,1425100,1658600,1696900
,Average,,,255850,366840,459950,538830,655370,978960
